name,html_url,stargazers_count,forks,description,homepage,language,created_at,updated_at
dot-scrape,https://github.com/datamade/dot-scrape,0,0,Library for scraping dot net sites,,,2016-08-31T15:42:47Z,2016-08-31T15:42:47Z
wabbit_wappa,https://github.com/datamade/wabbit_wappa,0,0,Wabbit Wappa is a full-featured Python wrapper for the Vowpal Wabbit machine learning utility.,,Python,2016-09-11T14:24:34Z,2016-09-11T14:24:35Z
cps-data,https://github.com/datamade/cps-data,1,0,"Repository of data on the Chicago Public Schools and District, complement to https://github.com/datamade/school-report-cards",,Makefile,2016-09-15T15:49:09Z,2016-10-23T15:33:24Z
dedupe-vowpal,https://github.com/datamade/dedupe-vowpal,1,0,Vowpal Wabbit Active Labeler for Dedupe,,Python,2016-09-23T21:24:43Z,2016-09-25T11:41:34Z
CartoLib,https://github.com/datamade/CartoLib,4,2,A library for building interactive Carto maps.,,JavaScript,2016-10-05T21:47:56Z,2016-12-14T01:37:49Z
census_area,https://github.com/datamade/census_area,6,2,:large_blue_diamond: Get Census Data from the API for arbitrary areas,,Python,2016-10-07T20:44:04Z,2016-12-23T18:25:42Z
la-metro-councilmatic,https://github.com/datamade/la-metro-councilmatic,0,0,:metro: An instance of councilmatic for LA Metro,,HTML,2016-10-10T18:52:05Z,2016-12-23T17:15:45Z
illinois-ucr,https://github.com/datamade/illinois-ucr,1,0,Tools for working with Illinois crime reports.,,Python,2016-10-17T19:01:29Z,2016-11-23T17:22:18Z
readme-template,https://github.com/datamade/readme-template,0,0,📖 A template for documenting your code.,,,2016-10-24T15:13:44Z,2016-10-25T13:54:41Z
census,https://github.com/datamade/census,0,0,A Python wrapper for the US Census API,,Python,2016-10-26T21:19:34Z,2016-10-26T21:19:35Z
django-councilmatic-notifications,https://github.com/datamade/django-councilmatic-notifications,0,0,Notifications app for Django Councilmatic,,Python,2016-10-31T14:47:30Z,2016-10-31T14:47:54Z
Levenshtein_search,https://github.com/datamade/Levenshtein_search,0,0,Python search module for fast approximate string matching,,C,2016-11-08T15:56:27Z,2016-11-08T15:56:28Z
python-opencivicdata-divisions,https://github.com/datamade/python-opencivicdata-divisions,0,0,opencivicdata.divisions namespace pkg,,Python,2016-11-23T19:26:51Z,2016-11-23T19:26:53Z
college-costs,https://github.com/datamade/college-costs,0,0,A tool to help students weigh the costs and rewards of a college program. ,,CSS,2016-12-07T22:20:16Z,2016-12-07T22:20:18Z
neveragaindottech.github.io,https://github.com/datamade/neveragaindottech.github.io,0,0,Source files for the neveragain.tech site,https://neveragain.tech,HTML,2016-12-13T20:46:50Z,2016-12-13T20:46:51Z
readme-roundup,https://github.com/datamade/readme-roundup,0,0,:memo: python script that pulls a list of organization repos from the GitHub API into a CSV,,Python,2016-12-23T04:49:04Z,2016-12-23T20:20:46Z
